report_begin_date,report_end_date,published_Date,market_type,slug_id,slug_name,report_title,final_ind,report_date,special_notes,report_narrative,_section,community,commodity,published_date,variety,region,size,organic,environment,store_count,wtd_avg_price,prior_WK_store_count,prior_WK_wtd_avg_price,prior_YR_store_count,prior_YR_wtd_avg_price,price_Range,stores_with_Ads,wtd_Avg_Price,%_Marked_Local
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Northwest,per lb,No,N/A,418.0,2.02,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,National,per lb,No,N/A,1169.0,1.78,550.0,1.31,1791.0,1.44,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Northwest,per lb,Yes,N/A,61.0,0.89,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southcentral,per lb,Yes,N/A,61.0,1.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southwest,per lb,Yes,N/A,73.0,1.49,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,National,per lb,Yes,N/A,195.0,1.46,,,351.0,2.02,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Gala/Royal Gala,Southeast,2 lb bag,No,N/A,303.0,2.07,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Gala/Royal Gala,National,2 lb bag,No,N/A,303.0,2.07,304.0,2.04,178.0,2.58,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Gala/Royal Gala,Midwest,2 lb bag,Yes,N/A,61.0,3.22,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Gala/Royal Gala,Southcentral,2 lb bag,Yes,N/A,227.0,4.38,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Gala/Royal Gala,Southwest,2 lb bag,Yes,N/A,307.0,4.61,,,,,,,,
